Akun,Tweet,Lokasi
https://twitter.com/vezakihikaru,"@hisengunbraw @ganjarpranowo btul, ak dah menduga di awal tapi rezeki tidak boleh ditolak 🙏🏻",
https://twitter.com/pembualndeso,"@ch_chotimah2 @ganjarpranowo Inget otda otda otda !? 😳...kenapa kalo banjir, yg disalahkan kepala daerah setempat?. Giliran jalan desa diklaim prestasinya ? 😱",
https://twitter.com/DilanYrt,@ganjarpranowo Insyaallah pak kami siap,
https://twitter.com/bramantyosudon2,@NephiLaxmus @ganjarpranowo tanggung jawab bupati....,
https://twitter.com/FayaAtika,"Program Jo Kawin Bocah yang digagas  Ganjar Pranowo untuk mencegah stunting layak menjadi role model daerah lain

#sahabatganjar #ganjarpranowo #ganjar https://t.co/g9JfQnY0ym",
https://twitter.com/hisengunbraw,@vezakihikaru @ganjarpranowo owh anjay politik,
https://twitter.com/FayaAtika,"Pakar kesehatan sekaligus Kepala Riset Kesehatan Universitas Gunadharma, Lestari Octavia menilai program ""Jo Kawin Bocah"" ampuh mengatasi persoalan stunting sejak dini.

#sahabatganjar #ganjarpranowo #ganjar https://t.co/rUAXuB8as3",
https://twitter.com/vezakihikaru,"@hisengunbraw @ganjarpranowo gatau sie, soalnya tadi dikasih kupon katanya tuker buat dapet makan sama uang",
https://twitter.com/pratomo_adhi,"@GanindutoDico Pak,Jalan rusak kapan di perbaiki? Bagaimana ini pak @ganjarpranowo ?",
https://twitter.com/ArianovitaD,"@kholil0906 @ganjarpranowo @jokowi astaghfirullah, 
2 bulan ngene iki gak surut2 lil?",
https://twitter.com/ahmadshrl30,"@GanjaranApp @ganjarpranowo Hebat memang pak Ganjar Pranowo, mengajak para siswa OSIS se-jateng secara bergantian melakukan safari pekerjaan yang biasa dilakukan oleh beliau.",
https://twitter.com/hisengunbraw,@vezakihikaru @ganjarpranowo dari p gnjr?,
https://twitter.com/vezakihikaru,@hisengunbraw @ganjarpranowo dapet,
https://twitter.com/JatengTV,"(03) Pemilik PT Perorangan menjadi pemeran utama dalam mengatur kebijakan perusahaannya, termasuk dalam hal pengolahan data dan keuangan. #ptperorangan #sange #ciptakerja #indonesia #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZTPEG",
https://twitter.com/JatengTV,"(03) Pemilik PT Perorangan menjadi pemeran utama dalam mengatur kebijakan perusahaannya, termasuk dalam hal pengolahan data dan keuangan. #ptperorangan #sange #ciptakerja #indonesia #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue",
https://twitter.com/calvinkv,@GanjaranApp @ganjarpranowo Semoga dengan ini generasi muda dapat belajar politik,
https://twitter.com/cxsjade,@GanjaranApp @ganjarpranowo Mantap si anak muda emang perlu belajar politik,
https://twitter.com/vtdiazz,@GanjaranApp @ganjarpranowo Wah saya juga tertarik belajar tentang politik bersama Pak Ganjar,
https://twitter.com/LampungGeeh,@Pritta_Blonde @jokowi eh ada Pak @ganjarpranowo 🥰,
https://twitter.com/hisengunbraw,@vezakihikaru @ganjarpranowo gk dpet sangu tah?,
https://twitter.com/xwvendy,@GanjaranApp @ganjarpranowo Mantap sih jika belajar kepemimpinan bersama dengan Pak Ganjar,
https://twitter.com/kienroberts,@anitaaanugrah @ganjarpranowo Dengan begitu Pak Ganjar diakui bahwa beliau memang sangat berbudaya menjadi pemimpin dan juga cinta budaya,
https://twitter.com/cltarine,@GanjaranApp @ganjarpranowo Wah pasti anak-anak OSIS dapat belajar tentang kepemimpinan bersama dengan Pak Ganjar,
https://twitter.com/juwairiyyahh___,@anitaaanugrah @ganjarpranowo pak ganjar adalah sosok gubernur yang selalu bisa untuk menghadirkan inovasi bagi jateng,
https://twitter.com/kienroberts,@xi157cm @ganjarpranowo Pemimpin yang terus memajukan infrastruktur daerah dan juga sangat menghormati pemerintahan kita seperti Presiden Joko Widodo,
https://twitter.com/tzaynite,@GanjaranApp @ganjarpranowo Keren Pak Ganjar mengajarkan para OSIS tentang kepemimpinan,
https://twitter.com/AkuAtikaFaya,"Data Dinas Pekerjaan Umum Bina Marga dan Cipta Karya (DPUBMCK) Provinsi Jawa Tengah mencatat ada total 7349 laporan masuk melalui aplikasi Jalan Cantik sejak 2019

#sahabatganjar #ganjarpranowo #ganjar https://t.co/CVNzFcuNLM",
https://twitter.com/juwairiyyahh___,@xi157cm @ganjarpranowo adanya tol tersebut nantinya akan bisa untuk mengurangi angka kemacetan,
https://twitter.com/AkuAtikaFaya,"Hingga saat ini sudah ada 3.782 laporan jalan rusak tertangani. Aplikasi Jalan Cantik yg diluncurkan Ganjar Pranowo sejak 2019 lalu, terbukti efektif untuk menangani jalan rusak. 

#sahabatganjar #ganjarpranowo #ganjar https://t.co/tSA2AeUOuE",
https://twitter.com/TracyPedas,"Berkat adanya Kanal ""LaporGub"" yg di inisiasi Pak @ganjarpranowo telah berhasil menyelamatkan WNI yg disekap &amp; dipaksa bekerja oleh perusahaan investasi bodong.
Selain itu dlm satu tahun adanya Kanal LaporGub ini, Pak Ganjar sdh menangani 23 ribu aduan masyarakat Jateng.
#GANTARI https://t.co/d9zYqrzt9j",
https://twitter.com/arturquois,@GanjaranApp @ganjarpranowo Emang Pak Ganjar pantas dijadikan guru untuk belajar menjadi pemimpin masa depan,
https://twitter.com/juwairiyyahh___,@yaellahboy @ganjarpranowo sangatt salut dengan kepemimpinan pak ganjar untuk jatenh sejauh ini,
https://twitter.com/kienroberts,@yaellahboy @ganjarpranowo Berkat dedikasi beliau yang terus memajukan daerah sehingga bisa menjadi penyalur kredit usaha rakyat yang tertinggi di nasional,
https://twitter.com/juwairiyyahh___,@silvia_padila @ganjarpranowo lapak ganjar memang selalu bisa untuk membantu banyak orang,
https://twitter.com/bpt_pwd,"Hallo #sahabatjalancantik 
Pekerjaan Rutin Pemeliharaan Jalan dan Jembatan 
Balai Pengelolaan Jalan Wilayah Purwodadi.
#JatengLawanCorona
#bersamalawancorona
@ganjarpranowo

@TajYasinMZ

@provjateng

@dprdjatengprov

@humasjateng

@dpubmckjateng https://t.co/1VWhj3WIu9",
https://twitter.com/juwairiyyahh___,@nurrohmah___ @ganjarpranowo itu merupakan bukti bahwa pak ganjar sangat memperhatikan kesejahteraan warganya,
https://twitter.com/safitriSD3,"@anitaaanugrah @ganjarpranowo Kehadiran pak Ganjar Pranowo yg paling di tunggu"" nih",
https://twitter.com/kienroberts,@silvia_padila @ganjarpranowo Usaha Pak Ganjar yang terus memajukan UMKM daerah memang sangat patut diapresiasi melalui lapak Ganjar dan sangat membantu masyarakat,
https://twitter.com/juwairiyyahh___,@itsliatrd_ @ganjarpranowo pak ganjar adalah sosok yang selalu memperhatikan kesejahteraan warga desa,
